date,holiday,locale,transferred,sales,onpromotion,transactions
2013-01-01,Holiday,National,False,2511.618999,0.0,25410.0
2013-01-02,Not Holiday,Not Holiday,False,496092.417944,0.0,3076095.0
2013-01-03,Not Holiday,Not Holiday,False,361461.231124,0.0,2590632.0
2013-01-04,Not Holiday,Not Holiday,False,354459.6770927,0.0,2590302.0
2013-01-05,Work Day,National,False,477350.121229,0.0,3087909.0
2013-01-06,Not Holiday,Not Holiday,False,519695.401088,0.0,2985312.0
2013-01-07,Not Holiday,Not Holiday,False,336122.801066,0.0,2494701.0
2013-01-08,Not Holiday,Not Holiday,False,318347.777981,0.0,2386725.0
2013-01-09,Not Holiday,Not Holiday,False,302530.809018,0.0,2375043.0
2013-01-10,Not Holiday,Not Holiday,False,258982.003049,0.0,2190639.0
2013-01-11,Not Holiday,Not Holiday,False,289737.6850845,0.0,2321154.0
2013-01-12,Work Day,National,False,403258.2120105,0.0,2821863.0
2013-01-13,Not Holiday,Not Holiday,False,464638.547998,0.0,2848098.0
2013-01-14,Not Holiday,Not Holiday,False,293348.362078,0.0,2312574.0
2013-01-15,Not Holiday,Not Holiday,False,299129.549954,0.0,2347422.0
2013-01-16,Not Holiday,Not Holiday,False,318347.913946,0.0,2391543.0
2013-01-17,Not Holiday,Not Holiday,False,267498.5159755,0.0,2272809.0
2013-01-18,Not Holiday,Not Holiday,False,296130.850028,0.0,2355243.0
2013-01-19,Not Holiday,Not Holiday,False,432459.852021,0.0,2922414.0
2013-01-20,Not Holiday,Not Holiday,False,461092.386047,0.0,2814273.0
2013-01-21,Not Holiday,Not Holiday,False,311211.26595000003,0.0,2417250.0
2013-01-22,Not Holiday,Not Holiday,False,296214.728983,0.0,2276604.0
2013-01-23,Not Holiday,Not Holiday,False,283258.4530325,0.0,2304027.0
2013-01-24,Not Holiday,Not Holiday,False,247245.690995,0.0,2102265.0
2013-01-25,Not Holiday,Not Holiday,False,290022.77193,0.0,2352009.0
2013-01-26,Not Holiday,Not Holiday,False,413799.7679753,0.0,2904726.0
2013-01-27,Not Holiday,Not Holiday,False,430411.991233,0.0,2749032.0
2013-01-28,Not Holiday,Not Holiday,False,285460.169953,0.0,2322837.0
2013-01-29,Not Holiday,Not Holiday,False,264488.81807649997,0.0,2258355.0
2013-01-30,Not Holiday,Not Holiday,False,281061.127052,0.0,2339304.0
2013-01-31,Not Holiday,Not Holiday,False,271254.217996,0.0,2318844.0
2013-02-01,Not Holiday,Not Holiday,False,369402.055266,0.0,2583966.0
2013-02-02,Not Holiday,Not Holiday,False,518887.462705,0.0,3212451.0
2013-02-03,Not Holiday,Not Holiday,False,486336.82018,0.0,2871858.0
2013-02-04,Not Holiday,Not Holiday,False,344308.715017,0.0,2485890.0
2013-02-05,Not Holiday,Not Holiday,False,321245.83913,0.0,2514798.0
2013-02-06,Not Holiday,Not Holiday,False,321538.177149,0.0,2484603.0
2013-02-07,Not Holiday,Not Holiday,False,290807.530973,0.0,2402037.0
2013-02-08,Not Holiday,Not Holiday,False,347441.789912,0.0,2630958.0
2013-02-09,Not Holiday,Not Holiday,False,416176.2790747,0.0,2981286.0
2013-02-10,Not Holiday,Not Holiday,False,300951.328993,0.0,2308779.0
2013-02-11,Holiday,National,False,278627.588926,0.0,2218326.0
2013-02-12,Holiday,National,False,308800.7909121,0.0,2369664.0
2013-02-13,Not Holiday,Not Holiday,False,319597.929962,0.0,2643234.0
2013-02-14,Not Holiday,Not Holiday,False,308164.016957,0.0,2926473.0
2013-02-15,Not Holiday,Not Holiday,False,320168.883912,0.0,2501037.0
2013-02-16,Not Holiday,Not Holiday,False,485660.494008,0.0,3062928.0
2013-02-17,Not Holiday,Not Holiday,False,399588.910014,0.0,2555817.0
2013-02-18,Not Holiday,Not Holiday,False,350745.573191,0.0,2522421.0
2013-02-19,Not Holiday,Not Holiday,False,293637.801951,0.0,2331285.0
2013-02-20,Not Holiday,Not Holiday,False,313803.162034,0.0,2435796.0
2013-02-21,Not Holiday,Not Holiday,False,267711.1090155,0.0,2252118.0
2013-02-22,Not Holiday,Not Holiday,False,285679.869131,0.0,2340162.0
2013-02-23,Not Holiday,Not Holiday,False,412897.349113,0.0,2916870.0
2013-02-24,Not Holiday,Not Holiday,False,452726.126103,0.0,2776125.0
2013-02-25,Not Holiday,Not Holiday,False,307110.875933,0.0,2381511.0
2013-02-26,Not Holiday,Not Holiday,False,270425.0070675,0.0,2267298.0
2013-02-27,Not Holiday,Not Holiday,False,288401.998919,0.0,2315610.0
2013-02-28,Not Holiday,Not Holiday,False,278116.291888,0.0,2303994.0
2013-03-01,Not Holiday,Not Holiday,False,378898.165064,0.0,2624292.0
2013-03-02,Holiday,Local,False,547857.205258,0.0,3254328.0
2013-03-03,Not Holiday,Not Holiday,False,559820.580027,0.0,3059628.0
2013-03-04,Not Holiday,Not Holiday,False,383647.679097,0.0,2609574.0
2013-03-05,Not Holiday,Not Holiday,False,332189.993189,0.0,2479422.0
2013-03-06,Not Holiday,Not Holiday,False,335726.580968,0.0,2525127.0
2013-03-07,Not Holiday,Not Holiday,False,293099.52701,0.0,2439030.0
2013-03-08,Not Holiday,Not Holiday,False,316600.679967,0.0,2581623.0
2013-03-09,Not Holiday,Not Holiday,False,453259.496866,0.0,3051246.0
2013-03-10,Not Holiday,Not Holiday,False,461859.756153,0.0,2848626.0
2013-03-11,Not Holiday,Not Holiday,False,318379.133021,0.0,2480313.0
2013-03-12,Not Holiday,Not Holiday,False,271823.37801,0.0,2288418.0
2013-03-13,Not Holiday,Not Holiday,False,287869.663972,0.0,2376330.0
2013-03-14,Not Holiday,Not Holiday,False,247541.420096,0.0,2223969.0
2013-03-15,Not Holiday,Not Holiday,False,315878.090213,0.0,2492589.0
2013-03-16,Not Holiday,Not Holiday,False,482233.433961,0.0,3032700.0
2013-03-17,Not Holiday,Not Holiday,False,513439.584913,0.0,2948418.0
2013-03-18,Not Holiday,Not Holiday,False,330283.80303,0.0,2455794.0
2013-03-19,Not Holiday,Not Holiday,False,294020.245897,0.0,2370753.0
2013-03-20,Not Holiday,Not Holiday,False,321207.006946,0.0,2446785.0
2013-03-21,Not Holiday,Not Holiday,False,269130.127953,0.0,2282181.0
2013-03-22,Not Holiday,Not Holiday,False,304100.453969,0.0,2375670.0
2013-03-23,Not Holiday,Not Holiday,False,453192.003086,0.0,3033459.0
2013-03-24,Not Holiday,Not Holiday,False,449794.636951,0.0,2753487.0
2013-03-25,Not Holiday,Not Holiday,False,317559.6099585,0.0,2408736.0
2013-03-26,Not Holiday,Not Holiday,False,275818.2359,0.0,2259477.0
2013-03-27,Not Holiday,Not Holiday,False,313691.148998,0.0,2443617.0
2013-03-28,Not Holiday,Not Holiday,False,339293.269022,0.0,2709432.0
2013-03-29,Not Holiday,Not Holiday,False,345513.132,0.0,2566773.0
2013-03-30,Not Holiday,Not Holiday,False,452661.356036,0.0,2990163.0
2013-03-31,Not Holiday,Not Holiday,False,462107.639956,0.0,2724579.0
