,ds,holiday_0,holiday_1,holiday_2,locale,transferred,y,onpromotion,transactions,day,month,day_of_month,day_of_year,week_of_year,day_of_week,is_weekend,is_month_start,is_month_end,quarter,is_quarter_start,is_quarter_end,is_year_start,is_year_end
0,2016-09-12,0,0,1,3.0,1,678776.4591265,5902.0,2545125.0,12,9,12,256,37,0,0,0,0,3,0,0,0,0
1,2016-09-13,0,0,1,3.0,1,603427.946974,7836.0,2443056.0,13,9,13,257,37,1,0,0,0,3,0,0,0,0
2,2016-09-14,0,0,1,3.0,1,624262.071976,13238.0,2412168.0,14,9,14,258,37,2,0,0,0,3,0,0,0,0
3,2016-09-15,0,0,1,3.0,1,568324.812986,8373.0,2466453.0,15,9,15,259,37,3,0,0,0,3,0,0,0,0
4,2016-09-16,0,0,1,3.0,1,691912.601466,14453.0,2666037.0,16,9,16,260,37,4,0,0,0,3,0,0,0,0
5,2016-09-17,0,0,1,3.0,1,899219.297508,9645.0,3111834.0,17,9,17,261,37,5,1,0,0,3,0,0,0,0
6,2016-09-18,0,0,1,3.0,1,1018662.657394,10453.0,3048375.0,18,9,18,262,37,6,1,0,0,3,0,0,0,0
7,2016-09-19,0,0,1,3.0,1,681159.341976,8924.0,2516415.0,19,9,19,263,38,0,0,0,0,3,0,0,0,0
8,2016-09-20,0,0,1,3.0,1,650980.3219717001,10992.0,2526876.0,20,9,20,264,38,1,0,0,0,3,0,0,0,0
9,2016-09-21,0,0,1,3.0,1,666928.400013,16166.0,2516580.0,21,9,21,265,38,2,0,0,0,3,0,0,0,0
10,2016-09-22,0,0,1,3.0,1,533276.332017,9185.0,2352306.0,22,9,22,266,38,3,0,0,0,3,0,0,0,0
11,2016-09-23,0,0,1,3.0,1,663685.9846653,14938.0,2587926.0,23,9,23,267,38,4,0,0,0,3,0,0,0,0
12,2016-09-24,0,0,1,3.0,1,861830.389997,10165.0,3002340.0,24,9,24,268,38,5,1,0,0,3,0,0,0,0
13,2016-09-25,0,0,1,3.0,1,952352.5509251,10902.0,2893671.0,25,9,25,269,38,6,1,0,0,3,0,0,0,0
14,2016-09-26,0,0,1,3.0,1,664217.4402937,9248.0,2476650.0,26,9,26,270,39,0,0,0,0,3,0,0,0,0
15,2016-09-27,0,0,1,3.0,1,587908.3278165,11118.0,2256375.0,27,9,27,271,39,1,0,0,0,3,0,0,0,0
16,2016-09-28,0,1,0,2.0,0,631761.1750463,15766.0,2401476.0,28,9,28,272,39,2,0,0,0,3,0,0,0,0
17,2016-09-29,0,0,1,3.0,1,520744.9210333,8746.0,2276076.0,29,9,29,273,39,3,0,0,0,3,0,0,0,0
18,2016-09-30,0,0,1,3.0,1,703198.490806,14020.0,2611125.0,30,9,30,274,39,4,0,0,1,3,0,1,0,0
19,2016-10-01,0,0,1,3.0,1,1175033.65823,9040.0,3401145.0,1,10,1,275,39,5,1,1,0,4,1,0,0,0
20,2016-10-02,0,0,1,3.0,1,1256480.1709663,10009.0,3279738.0,2,10,2,276,39,6,1,0,0,4,0,0,0,0
21,2016-10-03,0,0,1,3.0,1,833060.55889,8527.0,2774838.0,3,10,3,277,40,0,0,0,0,4,0,0,0,0
22,2016-10-04,0,0,1,3.0,1,724113.096039,11381.0,2619540.0,4,10,4,278,40,1,0,0,0,4,0,0,0,0
23,2016-10-05,0,0,1,3.0,1,749712.3000211,16510.0,2620299.0,5,10,5,279,40,2,0,0,0,4,0,0,0,0
