,ds,holiday_0,holiday_1,holiday_2,locale,transferred,y,onpromotion,transactions
0,2013-01-01,0,0,1,0.0,0,2511.618999,0.0,25410.0
1,2013-01-02,0,1,0,3.0,0,496092.417944,0.0,3076095.0
2,2013-01-03,0,1,0,3.0,0,361461.231124,0.0,2590632.0
3,2013-01-04,0,1,0,3.0,0,354459.6770927,0.0,2590302.0
4,2013-01-05,0,1,1,0.0,0,477350.121229,0.0,3087909.0
5,2013-01-06,0,1,0,3.0,0,519695.401088,0.0,2985312.0
6,2013-01-07,0,1,0,3.0,0,336122.801066,0.0,2494701.0
7,2013-01-08,0,1,0,3.0,0,318347.777981,0.0,2386725.0
8,2013-01-09,0,1,0,3.0,0,302530.809018,0.0,2375043.0
9,2013-01-10,0,1,0,3.0,0,258982.003049,0.0,2190639.0
10,2013-01-11,0,1,0,3.0,0,289737.6850845,0.0,2321154.0
11,2013-01-12,0,1,1,0.0,0,403258.2120105,0.0,2821863.0
12,2013-01-13,0,1,0,3.0,0,464638.547998,0.0,2848098.0
13,2013-01-14,0,1,0,3.0,0,293348.362078,0.0,2312574.0
14,2013-01-15,0,1,0,3.0,0,299129.549954,0.0,2347422.0
15,2013-01-16,0,1,0,3.0,0,318347.913946,0.0,2391543.0
16,2013-01-17,0,1,0,3.0,0,267498.5159755,0.0,2272809.0
17,2013-01-18,0,1,0,3.0,0,296130.850028,0.0,2355243.0
18,2013-01-19,0,1,0,3.0,0,432459.852021,0.0,2922414.0
19,2013-01-20,0,1,0,3.0,0,461092.386047,0.0,2814273.0
20,2013-01-21,0,1,0,3.0,0,311211.26595000003,0.0,2417250.0
21,2013-01-22,0,1,0,3.0,0,296214.728983,0.0,2276604.0
22,2013-01-23,0,1,0,3.0,0,283258.4530325,0.0,2304027.0
23,2013-01-24,0,1,0,3.0,0,247245.690995,0.0,2102265.0
24,2013-01-25,0,1,0,3.0,0,290022.77193,0.0,2352009.0
25,2013-01-26,0,1,0,3.0,0,413799.7679753,0.0,2904726.0
26,2013-01-27,0,1,0,3.0,0,430411.991233,0.0,2749032.0
27,2013-01-28,0,1,0,3.0,0,285460.169953,0.0,2322837.0
28,2013-01-29,0,1,0,3.0,0,264488.81807649997,0.0,2258355.0
29,2013-01-30,0,1,0,3.0,0,281061.127052,0.0,2339304.0
30,2013-01-31,0,1,0,3.0,0,271254.217996,0.0,2318844.0
31,2013-02-01,0,1,0,3.0,0,369402.055266,0.0,2583966.0
32,2013-02-02,0,1,0,3.0,0,518887.462705,0.0,3212451.0
33,2013-02-03,0,1,0,3.0,0,486336.82018,0.0,2871858.0
34,2013-02-04,0,1,0,3.0,0,344308.715017,0.0,2485890.0
35,2013-02-05,0,1,0,3.0,0,321245.83913,0.0,2514798.0
36,2013-02-06,0,1,0,3.0,0,321538.177149,0.0,2484603.0
37,2013-02-07,0,1,0,3.0,0,290807.530973,0.0,2402037.0
38,2013-02-08,0,1,0,3.0,0,347441.789912,0.0,2630958.0
39,2013-02-09,0,1,0,3.0,0,416176.2790747,0.0,2981286.0
40,2013-02-10,0,1,0,3.0,0,300951.328993,0.0,2308779.0
41,2013-02-11,0,0,1,0.0,0,278627.588926,0.0,2218326.0
42,2013-02-12,0,0,1,0.0,0,308800.7909121,0.0,2369664.0
43,2013-02-13,0,1,0,3.0,0,319597.929962,0.0,2643234.0
44,2013-02-14,0,1,0,3.0,0,308164.016957,0.0,2926473.0
45,2013-02-15,0,1,0,3.0,0,320168.883912,0.0,2501037.0
46,2013-02-16,0,1,0,3.0,0,485660.494008,0.0,3062928.0
47,2013-02-17,0,1,0,3.0,0,399588.910014,0.0,2555817.0
48,2013-02-18,0,1,0,3.0,0,350745.573191,0.0,2522421.0
49,2013-02-19,0,1,0,3.0,0,293637.801951,0.0,2331285.0
50,2013-02-20,0,1,0,3.0,0,313803.162034,0.0,2435796.0
51,2013-02-21,0,1,0,3.0,0,267711.1090155,0.0,2252118.0
52,2013-02-22,0,1,0,3.0,0,285679.869131,0.0,2340162.0
53,2013-02-23,0,1,0,3.0,0,412897.349113,0.0,2916870.0
54,2013-02-24,0,1,0,3.0,0,452726.126103,0.0,2776125.0
55,2013-02-25,0,1,0,3.0,0,307110.875933,0.0,2381511.0
56,2013-02-26,0,1,0,3.0,0,270425.0070675,0.0,2267298.0
57,2013-02-27,0,1,0,3.0,0,288401.998919,0.0,2315610.0
58,2013-02-28,0,1,0,3.0,0,278116.291888,0.0,2303994.0
59,2013-03-01,0,1,0,3.0,0,378898.165064,0.0,2624292.0
60,2013-03-02,0,0,1,2.0,0,547857.205258,0.0,3254328.0
61,2013-03-03,0,1,0,3.0,0,559820.580027,0.0,3059628.0
62,2013-03-04,0,1,0,3.0,0,383647.679097,0.0,2609574.0
63,2013-03-05,0,1,0,3.0,0,332189.993189,0.0,2479422.0
64,2013-03-06,0,1,0,3.0,0,335726.580968,0.0,2525127.0
65,2013-03-07,0,1,0,3.0,0,293099.52701,0.0,2439030.0
66,2013-03-08,0,1,0,3.0,0,316600.679967,0.0,2581623.0
67,2013-03-09,0,1,0,3.0,0,453259.496866,0.0,3051246.0
68,2013-03-10,0,1,0,3.0,0,461859.756153,0.0,2848626.0
69,2013-03-11,0,1,0,3.0,0,318379.133021,0.0,2480313.0
70,2013-03-12,0,1,0,3.0,0,271823.37801,0.0,2288418.0
71,2013-03-13,0,1,0,3.0,0,287869.663972,0.0,2376330.0
72,2013-03-14,0,1,0,3.0,0,247541.420096,0.0,2223969.0
73,2013-03-15,0,1,0,3.0,0,315878.090213,0.0,2492589.0
74,2013-03-16,0,1,0,3.0,0,482233.433961,0.0,3032700.0
75,2013-03-17,0,1,0,3.0,0,513439.584913,0.0,2948418.0
